p		#cnt 0
1
30
1000 0 0
999.782 75.2517 1
999.563 150.503 2
1001.74 224.877 3
1003.59 298.944 4
1005.68 372.816 5
1008.51 446.711 6
1011.63 520.437 7
1014.86 594.042 8
1018.07 667.465 9
1021.14 740.717 10
1024.45 813.834 11
1028.06 886.833 12
1032.25 959.742 13
1036.68 1032.54 14
1042.2 1105.25 15
1048.83 1177.86 16
1056.15 1250.37 17
1064.68 1322.61 18
1074.1 1394.56 19
1083.82 1466.29 20
1092.97 1538.04 21
1101.77 1609.91 22
1110.52 1681.98 23
1119.61 1754.23 24
1129.28 1826.62 25
1139.42 1899.06 26
1149.29 1971.64 27
1158.05 2044.5 28
1165.48 2117.8 29
1174.5 2191.94 30
-0.21848 75.2517 0 
-0.21848 75.2517 -0.0233228 
2.18143 74.3731 -0.00228163 
1.98032 74.1051 0.00239284 
2.04098 73.9082 -0.00216997 
2.15694 73.7548 -0.00130501 
2.24766 73.6307 -0.00141423 
2.35975 73.5214 -0.00166572 
2.47446 73.4207 -0.00150921 
2.57164 73.3286 -0.00126292 
2.65758 73.2454 -0.00122486 
2.74059 73.1704 -0.00105109 
2.79949 73.1028 -0.000689849 
2.83938 73.0433 -0.000543196 
2.88505 72.9903 -0.000956631 
2.97822 72.9387 -0.00167255 
3.1162 72.8859 -0.00222297 
3.28907 72.8277 -0.00265329 
3.48325 72.7633 -0.00281476 
3.67463 72.697 -0.00260387 
3.84169 72.6359 -0.00217522 
3.9782 72.5824 -0.00175866 
4.08899 72.5364 -0.00143763 
4.18005 72.4969 -0.00118323 
4.25476 72.4635 -0.000973244 
4.31592 72.4357 -0.00078652 
4.36384 72.4137 -0.000587014 
4.39765 72.3979 -0.000379707 
4.41726 72.3878 -0.00017911 
4.42502 72.3817 -7.99476e-05 
p		#cnt 1
1
30
1040 0 31
1035.39 70.9002 32
1030.77 141.8 33
1031.77 214.952 34
1033.34 288.405 35
1035.32 361.896 36
1037.92 435.498 37
1040.95 509.017 38
1044.38 582.464 39
1047.76 655.722 40
1050.68 728.788 41
1053.75 801.739 42
1057.28 874.531 43
1061.34 947.151 44
1065.32 1019.62 45
1070.39 1091.99 46
1076.62 1164.22 47
1083.73 1236.43 48
1092.55 1308.43 49
1103.1 1380.07 50
1113.76 1451.47 51
1122.92 1522.96 52
1131.22 1594.65 53
1139.35 1666.49 54
1147.51 1738.65 55
1156.54 1811.08 56
1167.47 1883.55 57
1178.87 1956.04 58
1188.92 2028.84 59
1198.46 2101.7 60
1211.63 2172.32 61
-4.61495 70.9002 0 
-4.61495 70.9002 -0.0572195 
0.996562 73.1514 -0.0137343 
1.70461 73.4923 -0.00627854 
2.00886 73.5567 -0.00241072 
2.12177 73.5295 -0.00107906 
2.21205 73.473 -0.00167256 
2.36481 73.4002 -0.0023513 
2.52368 73.318 -0.00190889 
2.62854 73.2363 -0.00106851 
2.68625 73.1608 -0.000733797 
2.7395 73.0925 -0.000812361 
2.7926 73.029 -0.000667692 
2.8292 72.97 -0.000487667 
2.86763 72.9141 -0.000767532 
2.94116 72.8599 -0.00140668 
3.06735 72.8054 -0.00223226 
3.25433 72.7448 -0.00304286 
3.48205 72.6747 -0.00331654 
3.7012 72.6045 -0.00286603 
3.87548 72.5465 -0.00214134 
4.0056 72.5007 -0.00165101 
4.11096 72.4634 -0.00135661 
4.1961 72.4329 -0.00107285 
4.26452 72.4081 -0.000902598 
4.32467 72.3867 -0.000796947 
4.37438 72.3694 -0.000591015 
4.40905 72.3583 -0.000419143 
4.43899 72.351 -0.000447022 
4.47298 72.3422 -0.000507716 
p		#cnt 2
1
30
1080 0 62
1073.41 73.7475 63
1066.82 147.495 64
1066.87 221.275 65
1068.4 294.868 66
1070.39 368.295 67
1072.86 441.716 68
1075.82 514.987 69
1079.67 588.192 70
1083.29 661.274 71
1086.06 734.193 72
1088.82 806.934 73
1092.6 879.434 74
1096.83 951.698 75
1100.46 1023.78 76
1105.29 1095.67 77
1111.57 1167.3 78
1118.43 1238.96 79
1127.39 1310.36 80
1139.64 1381.22 81
1151.53 1452.1 82
1160.32 1523.45 83
1167.79 1595.17 84
1175.79 1666.7 85
1183.01 1738.72 86
1190.89 1810.94 87
1202.93 1882.89 88
1216.46 1954.71 89
1226.91 2026.95 90
1238.44 2099.43 91
1244.35 2173.21 92
-6.58803 73.7475 0 
-6.58803 73.7475 -0.0576158 
0.0443816 73.7797 -0.0373192 
1.6667 73.6324 -0.0107744 
2.06891 73.5252 -0.0020544 
2.13533 73.4361 -0.000330521 
2.19535 73.3437 -0.0020495 
2.41787 73.2489 -0.00334776 
2.61785 73.1698 -0.00216858 
2.72138 73.1078 -0.000653032 
2.73416 73.0493 -0.000176807 
2.76757 72.9893 -0.000763144 
2.82297 72.927 -0.000715751 
2.85752 72.8675 -0.000368305 
2.88278 72.8095 -0.000576121 
2.94292 72.7484 -0.00125534 
3.06153 72.6852 -0.00228452 
3.26413 72.6128 -0.00351625 
3.52809 72.5255 -0.00385464 
3.77033 72.4499 -0.00300665 
3.94021 72.4032 -0.00187122 
4.05026 72.3757 -0.00144987 
4.15075 72.3489 -0.00128527 
4.22628 72.3317 -0.000880536 
4.28357 72.3202 -0.000780694 
4.34146 72.3078 -0.00083115 
4.39441 72.2966 -0.000547503 
4.42303 72.2909 -0.000397433 
4.46027 72.2833 -0.000611717 
4.50884 72.2796 -0.000681405 
p		#cnt 3
1
30
1120 0 93
1115.05 72.3046 94
1110.1 144.609 95
1107.18 217.19 96
1106.16 289.921 97
1107.35 362.717 98
1111.44 435.616 99
1114.61 508.48 100
1116.89 581.442 101
1119.82 654.261 102
1124.6 726.828 103
1127.85 799.26 104
1130.5 871.597 105
1134.22 943.515 106
1140.31 1014.97 107
1143.33 1086.21 108
1146.71 1156.93 109
1154.29 1227.27 110
1163.45 1296.9 111
1177.06 1366.09 112
1189.9 1436.58 113
