0: 15.31-16.30	22.6849 , -1.12418 nm	CRITICO
1: 15.31-16.31	22.2576 , -1.55144 nm	CRITICO
2: 18.30-19.30	21.0966 , -3.9777 nm	CRITICO
3: 18.30-19.31	20.0899 , -4.98442 nm	CRITICO
4: 18.31-19.30	21.7879 , -3.28647 nm	CRITICO
5: 18.31-19.31	10.6535 , -14.4208 nm	CRITICO
6: 19.31-20.31	26.9995 , 0.409037 nm
7: 22.31-23.31	22.4517 , -0.266657 nm	CRITICO
8: 23.20-24.20	21.2748 , -1.15741 nm	CRITICO
9: 23.20-24.21	17.2555 , -5.17678 nm	CRITICO
10: 23.21-24.21	5.65666 , -16.7756 nm	CRITICO
11: 23.21-24.22	2.7952 , -19.637 nm	CRITICO
12: 23.22-24.21	21.8777 , -0.554544 nm	CRITICO
13: 23.22-24.22 INTERSECAO
14: 23.22-24.23	5.28512 , -17.1471 nm	CRITICO
15: 23.23-24.22	23.3407 , 0.908446 nm
16: 23.23-24.23	6.71323 , -15.719 nm	CRITICO
17: 23.23-24.24	10.811 , -11.6213 nm	CRITICO
18: 23.24-24.24	10.811 , -11.6213 nm	CRITICO
19: 23.24-24.25	9.36463 , -13.0676 nm	CRITICO
20: 23.25-24.25	6.29614 , -16.1361 nm	CRITICO
21: 23.25-24.26	2.9219 , -19.5104 nm	CRITICO
22: 23.26-24.26 INTERSECAO
23: 23.26-24.27	3.03493 , -19.3973 nm	CRITICO
24: 23.27-24.27	7.53315 , -14.8991 nm	CRITICO
25: 23.27-24.28	15.7301 , -6.70217 nm	CRITICO
26: 23.28-24.28	20.7779 , -1.65433 nm	CRITICO
27: 24.31-26.31	12.2478 , -11.7433 nm	CRITICO
28: 25.31-26.30	24.5354 , -0.686605 nm	CRITICO
29: 26.21-27.20	17.1407 , -8.23605 nm	CRITICO
30: 26.21-27.21	12.7631 , -12.6136 nm	CRITICO
31: 26.22-27.20	24.2208 , -1.1559 nm	CRITICO
32: 26.22-27.21	10.0761 , -15.3006 nm	CRITICO
33: 26.22-27.22	8.87829 , -16.4984 nm	CRITICO
34: 26.23-27.21	19.2343 , -6.14237 nm	CRITICO
35: 26.23-27.22	8.87829 , -16.4984 nm	CRITICO
36: 26.23-27.23	17.792 , -7.58467 nm	CRITICO
37: 26.24-27.22	23.3537 , -2.02298 nm	CRITICO
38: 26.24-27.23	19.4919 , -5.88477 nm	CRITICO
39: 28.25-29.26	23.278 , -0.961451 nm	CRITICO
40: 28.25-29.27	10.5888 , -13.6507 nm	CRITICO
41: 28.26-29.27	7.1549 , -17.0845 nm	CRITICO
42: 28.26-29.28 INTERSECAO
43: 28.26-29.29	20.5663 , -3.67318 nm	CRITICO
44: 28.27-29.28	8.94229 , -15.2972 nm	CRITICO
45: 28.27-29.29	11.2516 , -12.9878 nm	CRITICO
46: 28.27-30.25	25.5617 , -0.349754 nm	CRITICO
47: 28.28-30.25	9.58232 , -16.3291 nm	CRITICO
48: 28.28-30.26 INTERSECAO
49: 28.29-30.26	4.06414 , -21.8473 nm	CRITICO
50: 28.29-30.27	26.0936 , 0.182161 nm	CRITICO
51: 29.13-30.10	16.6115 , -8.40946 nm	CRITICO
52: 29.13-30.11	16.5715 , -8.4495 nm	CRITICO
53: 29.14-30.10	16.6349 , -8.38607 nm	CRITICO
54: 29.14-30.11	16.5715 , -8.4495 nm	CRITICO
55: 29.14-30.12	26.0132 , 0.992217 nm
56: 29.15-30.11	17.148 , -7.87299 nm	CRITICO
57: 29.15-30.12	17.148 , -7.87299 nm	CRITICO
58: 30.17-31.20	19.804 , -5.0217 nm	CRITICO
59: 30.17-31.21	11.496 , -13.3297 nm	CRITICO
60: 30.18-31.20	25.9761 , 1.15047 nm
61: 30.18-31.21	6.138 , -18.6877 nm	CRITICO
62: 30.18-31.22 INTERSECAO
63: 30.18-31.23	16.2015 , -8.62419 nm	CRITICO
64: 30.19-31.22	3.34998 , -21.4757 nm	CRITICO
65: 30.19-31.23	3.34998 , -21.4757 nm	CRITICO
66: 30.19-31.24	5.46645 , -19.3592 nm	CRITICO
67: 30.19-32.16	22.2655 , -2.21664 nm	CRITICO
68: 30.19-32.17	20.4196 , -4.06251 nm	CRITICO
69: 30.20-31.23	9.32186 , -15.5038 nm	CRITICO
70: 30.20-31.24 INTERSECAO
71: 30.20-31.25	2.41099 , -22.4147 nm	CRITICO
72: 30.20-32.17	20.4196 , -4.06251 nm	CRITICO
73: 30.21-31.25	5.47637 , -19.3493 nm	CRITICO
74: 30.21-31.26	15.5139 , -9.31174 nm	CRITICO
75: 35.30-37.30	15.2585 , -9.1149 nm	CRITICO
76: 35.31-37.30 INTERSECAO
77: 35.31-37.31	1.08682 , -23.2866 nm	CRITICO
78: 35.31-38.30	17.0886 , -10.2493 nm	CRITICO
79: 35.31-38.31	17.1031 , -10.2348 nm	CRITICO
80: 36.31-37.27	15.8574 , -7.82548 nm	CRITICO
81: 37.31-38.31	22.2586 , -3.99158 nm	CRITICO
82: 38.12-39.14	27.4127 , 1.61506 nm
83: 38.13-39.14	27.4127 , 1.61506 nm
84: 38.13-39.15	27.4238 , 1.62613 nm
85: 40.23-41.18	20.2596 , -6.37888 nm	CRITICO
86: 40.23-41.19	21.443 , -5.1955 nm	CRITICO
87: 40.24-41.18	16.2579 , -10.3806 nm	CRITICO
88: 40.24-41.19	5.21613 , -21.4224 nm	CRITICO
89: 40.25-41.19 INTERSECAO
90: 40.25-41.20	4.19883 , -22.4397 nm	CRITICO
91: 40.26-41.19	26.5238 , -0.114651 nm	CRITICO
92: 40.26-41.20	7.49129 , -19.1472 nm	CRITICO
93: 40.26-41.21	16.8625 , -9.77596 nm	CRITICO
94: 40.27-41.20	17.9085 , -8.73 nm	CRITICO
95: 40.27-41.21	16.9979 , -9.64059 nm	CRITICO
96: 40.27-41.22	26.0364 , -0.602075 nm	CRITICO
97: 40.28-41.21	20.4691 , -6.1694 nm	CRITICO
98: 40.28-41.22	18.9967 , -7.64177 nm	CRITICO
99: 40.29-41.22	17.6084 , -9.03007 nm	CRITICO
100: 40.29-41.23	13.1875 , -13.451 nm	CRITICO
101: 40.30-41.23	4.37891 , -22.2596 nm	CRITICO
102: 40.30-41.24	3.26441 , -23.3741 nm	CRITICO
103: 40.31-41.23	5.60083 , -21.0377 nm	CRITICO
104: 40.31-41.24 INTERSECAO
105: 40.31-41.25	23.1112 , -3.52732 nm	CRITICO
106: 41.30-43.31 INTERSECAO
107: 41.31-43.31	8.43227 , -16.0769 nm	CRITICO
108: 42.31-43.29	17.8437 , -6.08903 nm	CRITICO
109: 43.20-44.20	20.6103 , -2.29513 nm	CRITICO
110: 43.21-44.20	13.9955 , -8.90999 nm	CRITICO
111: 43.21-44.21	1.76743 , -21.138 nm	CRITICO
