p		#cnt 0
1
30
1000 0 0
999.782 75.2517 1
999.563 150.503 2
1000.25 225.506 3
1000.05 300.317 4
1004.17 375.004 5
1002.48 449.518 6
1000.27 523.857 7
1003.07 598.136 8
999.48 672.099 9
993.145 745.771 10
994.157 819.677 11
993.076 893.305 12
995.149 966.787 13
1001.88 1039.93 14
1005.02 1113.09 15
1013.22 1186.09 16
1024.8 1258.72 17
1028.16 1332.04 18
1032.57 1405.34 19
1041.83 1478.51 20
1046.2 1552.19 21
1051.69 1625.97 22
1060.9 1699.54 23
1065.62 1773.44 24
1074.51 1846.92 25
1086.96 1920.13 26
1094.56 1993.85 27
1103.79 2067.47 28
1119.26 2140.42 29
1133.08 2214.07 30
-0.21848 75.2517 0 
-0.21848 75.2517 -0.006618 
0.690955 75.0021 -0.0097545 
1.45255 74.8863 -0.0102245 
2.05161 74.7326 -0.00402513 
2.03235 74.6073 0.00298338 
1.80961 74.4773 0.00208655 
1.71537 74.3571 0.00138146 
1.53579 74.2255 0.0034986 
1.28291 74.0817 0.00281252 
1.08373 73.9633 0.00392905 
0.71741 73.8388 0.00442123 
0.531128 73.7241 0.00077348 
0.506683 73.6056 0.000475246 
0.438776 73.4884 0.000443253 
0.532596 73.3561 -0.0040756 
0.970706 73.1911 -0.00719419 
1.49416 73.0915 -0.00732181 
2.0526 72.9974 -0.00799631 
2.64293 72.874 -0.00807568 
3.23498 72.8019 -0.00829153 
3.88425 72.7272 -0.00938289 
4.60891 72.6187 -0.0102557 
5.39328 72.5563 -0.0110765 
6.23813 72.4439 -0.0118269 
7.10071 72.2878 -0.0115448 
7.90412 72.1939 -0.0101179 
8.60996 72.0983 -0.00950007 
9.36068 71.9282 -0.0116235 
10.3064 71.7562 -0.0134267 
p		#cnt 1
1
30
1066.67 0 31
1062.05 70.9002 32
1057.44 141.8 33
1054.13 213.035 34
1051.68 284.439 35
1050.23 356.075 36
1048.86 427.864 37
1047.57 499.88 38
1046.5 572.182 39
1044.89 644.642 40
1042.65 717.34 41
1040.68 790.299 42
1038.43 863.544 43
1037.28 937.106 44
1039.52 1010.98 45
1044.11 1084.49 46
1049.45 1157.83 47
1056.19 1231.15 48
1061.29 1304.37 49
1066.45 1377.54 50
1071.89 1450.73 51
1075.2 1523.78 52
1078.92 1596.83 53
1085.64 1669.8 54
1094.4 1742.7 55
1105.95 1815.31 56
1116.56 1887.7 57
1128.51 1959.88 58
1142.02 2031.7 59
1152.62 2103.46 60
1159.12 2174.84 61
-4.61495 70.9002 0 
-4.61495 70.9002 -0.0106639 
-3.30913 71.2346 -0.0132821 
-2.46781 71.3986 -0.00981186 
-1.96977 71.5376 -0.00419065 
-1.86149 71.6655 0.000885696 
-2.05845 71.7886 0.00413799 
-2.39018 71.9117 0.00443074 
-2.63929 72.0339 0.00210742 
-2.6902 72.1597 -0.000676332 
-2.56357 72.2911 -0.00282009 
-2.31278 72.428 -0.00387821 
-2.00457 72.5629 -0.00483478 
-1.57424 72.6843 -0.00684818 
-0.985031 72.7312 -0.00903521 
-0.229834 72.737 -0.0116561 
0.640899 72.7093 -0.0105725 
1.28266 72.6657 -0.00781474 
1.84989 72.6021 -0.0077672 
2.41695 72.5289 -0.00774413 
2.98491 72.4724 -0.0079349 
3.58797 72.412 -0.0086809 
4.2575 72.3243 -0.00974891 
5.01698 72.2141 -0.011251 
5.87142 72.0659 -0.0119389 
6.73314 71.9243 -0.0121397 
7.6393 71.7574 -0.0130376 
8.52604 71.5624 -0.0106845 
9.19447 71.4504 -0.00943337 
9.93999 71.3792 -0.0109542 
p		#cnt 2
1
30
1133.33 0 62
1126.75 73.7475 63
1120.16 147.495 64
1112.83 220.999 65
1105.03 294.398 66
1097.32 367.672 67
1089.83 440.873 68
1083.71 514.084 69
1079.97 587.278 70
1077.75 660.455 71
1076.87 733.604 72
1076.39 806.721 73
1075.76 879.72 74
1074.72 952.548 75
1074.01 1025.35 76
1076.66 1098.07 77
1083.13 1170.66 78
1091.76 1243.14 79
1098.92 1315.69 80
1103.39 1388.53 81
1107.22 1461.43 82
1111.14 1534.31 83
1115.68 1607.16 84
1122.65 1679.9 85
1132.9 1752.24 86
1144.16 1824.55 87
1157.51 1896.5 88
1171.49 1968.51 89
1180.67 2041.61 90
1186.3 2115.39 91
1189.74 2189.4 92
-6.58803 73.7475 0 
-6.58803 73.7475 0.00547404 
-7.32727 73.5043 0.00881386 
-8.01653 73.3493 0.00969645 
-8.66827 73.1983 0.00783077 
-9.08233 73.0702 0.00323549 
-9.07439 72.9829 -0.00351957 
-8.54301 72.9263 -0.0107468 
-7.52183 72.8842 -0.0167336 
-6.14622 72.8392 -0.0202754 
-4.62701 72.7935 -0.0206339 
-3.20454 72.7465 -0.0177052 
-2.11531 72.6914 -0.0115911 
-1.45683 72.6306 -0.00771506 
-0.86266 72.5492 -0.00916471 
-0.120319 72.4402 -0.0109772 
0.663035 72.3135 -0.0102754 
1.338 72.2094 -0.00850505 
1.91588 72.1325 -0.0076117 
2.465 72.0609 -0.00758563 
3.02934 71.9883 -0.00800216 
3.63435 71.9093 -0.0086922 
4.29978 71.8071 -0.00978152 
5.05963 71.6665 -0.0114165 
5.95394 71.5048 -0.0134396 
6.94764 71.3062 -0.0135579 
7.86271 71.1235 -0.0119965 
8.70248 71.0225 -0.0110476 
9.48672 70.9771 -0.0101057 
10.2057 70.9532 -0.00951249 
p		#cnt 3
1
30
1200 0 93
1195.05 72.3046 94
1190.1 144.609 95
1184.97 216.818 96
1179.92 289.112 97
1175.02 361.356 98
1170.08 433.602 99
1165.45 505.885 100
1161.49 578.126 101
1157.59 650.421 102
1153.56 722.804 103
1150.54 795.141 104
1148.58 867.493 105
1146.26 939.818 106
1143.39 1012.06 107
1140.03 1084.15 108
1136.65 1156.06 109
1134.73 1228.17 110
1134.33 1300.29 111
1135.49 1372.33 112
1138.09 1444.19 113
