p		#cnt 0
1
30
1000 0 0
1000.47 88.3113 1
1000.95 176.623 2
1003.58 257.464 3
1011.3 336.929 4
1021.37 415.026 5
1025.76 492.803 6
1036.66 570.606 7
1051.15 647.324 8
1057.15 724.093 9
1066.12 800.949 10
1073.9 877.611 11
1079.6 954.501 12
1087.06 1031.37 13
1093.96 1107.92 14
1097.5 1184.64 15
1103.15 1261.26 16
1108.05 1338.19 17
1115.7 1414.99 18
1115.79 1491.67 19
1123.74 1569.18 20
1132.48 1646.21 21
1131.48 1722.95 22
1139.71 1800.59 23
1149.29 1877.61 24
1152.87 1954.75 25
1161.55 2032.47 26
1168.3 2110.19 27
1160.44 2188.25 28
1181.45 2271.64 29
1241.28 2345.21 30
0.472922 88.3113 0 
0.472922 88.3113 -0.0102767 
2.63036 80.8415 -0.0335399 
4.59044 79.1666 -0.0203592 
5.85791 78.2168 -0.0129354 
6.61626 77.7768 -0.00910274 
7.34499 77.4712 -0.00947772 
7.98853 77.2558 -0.00777521 
8.55263 77.1811 -0.00730019 
9.11705 77.1152 -0.00717188 
9.64963 77.0776 -0.00682597 
10.1788 77.0643 -0.00689358 
10.7083 77.0449 -0.00674618 
11.2177 77.0323 -0.00654486 
11.7232 77.0402 -0.00666226 
12.2468 77.0303 -0.00696544 
12.7645 77.0229 -0.00604318 
13.1703 77.0046 -0.0047732 
13.5391 77.0262 -0.00507697 
13.9583 77.0066 -0.00549092 
14.3828 76.9793 -0.00555015 
14.8136 76.998 -0.00561117 
15.2478 76.9581 -0.00561425 
15.6766 76.9045 -0.00539178 
16.0489 76.8818 -0.00400714 
16.2585 76.856 -0.00117928 
16.2072 76.8691 0.00263969 
15.8976 76.8533 0.00446137 
15.595 76.9432 0.00238844 
15.512 77.0047 0.000439714 
p		#cnt 1
1
30
1040 0 31
1033.68 73.5579 32
1027.35 147.116 33
1029.56 223.497 34
1036.34 300.309 35
1045.23 377.141 36
1051.9 454.182 37
1060.31 531.266 38
1072.65 607.821 39
1082.78 684.611 40
1091.7 761.489 41
1098.29 838.479 42
1104.08 915.519 43
1111.99 992.352 44
1118.63 1069.19 45
1123.56 1146.1 46
1129.29 1222.86 47
1134.32 1299.73 48
1139.92 1376.6 49
1144.55 1453.42 50
1150.76 1530.52 51
1156.08 1607.67 52
1159.54 1684.76 53
1165.87 1761.94 54
1171.69 1838.97 55
1178.31 1916.07 56
1185.63 1993.46 57
1190.81 2071.17 58
1188.89 2148.8 59
1200.05 2226.91 60
1235.9 2299.81 61
-6.32323 73.5579 0 
-6.32323 73.5579 -0.0743072 
2.20932 76.3811 -0.0580372 
4.59731 76.7052 -0.0150503 
5.53507 76.8117 -0.0102682 
6.30563 76.8879 -0.00936157 
6.99045 76.9094 -0.00823293 
7.60803 76.8852 -0.00779965 
8.21066 76.8675 -0.00761661 
8.78693 76.8529 -0.00728213 
9.3444 76.8535 -0.00712572 
9.88685 76.8581 -0.00681871 
10.4035 76.8492 -0.00663351 
10.9221 76.8463 -0.0067936 
11.4495 76.8515 -0.0068156 
11.9689 76.849 -0.00665225 
12.4696 76.8513 -0.00625599 
12.9325 76.8522 -0.00577331 
13.3629 76.8564 -0.00538136 
13.7711 76.8511 -0.00526209 
14.1901 76.8496 -0.00560906 
14.6318 76.8539 -0.00568958 
15.0559 76.8391 -0.00522404 
15.4284 76.8285 -0.0043048 
15.7024 76.824 -0.00262124 
15.8191 76.8371 -0.000257109 
15.7662 76.8728 0.00133693 
15.6485 76.9023 0.0015575 
15.5469 76.9415 0.000992457 
15.5055 76.9775 0.000482195 
p		#cnt 2
1
30
1080 0 62
1073.5 71.1027 63
1067.01 142.205 64
1069.45 216.373 65
1073.63 291.62 66
1079.36 367.486 67
1086.15 443.68 68
1096.38 519.847 69
1105.39 595.891 70
1112.06 672.344 71
1120.68 748.839 72
1130.1 825.212 73
1138.37 901.96 74
1146.77 978.833 75
1154.01 1055.65 76
1159.08 1132.77 77
1164.55 1209.92 78
1170.2 1287.19 79
1174.73 1364.72 80
1178.32 1441.86 81
1184.64 1518.9 82
1192.52 1595.55 83
1194.88 1673.08 84
1201.35 1750.34 85
1208.11 1827.52 86
1211.57 1904.46 87
1216.27 1981.33 88
1222.08 2057.92 89
1224.6 2134.9 90
1235.47 2210.72 91
1241.67 2285.07 92
-6.4965 71.1027 0 
-6.4965 71.1027 -0.0839966 
2.44226 74.167 -0.0497548 
3.94358 75.2625 -0.00806327 
4.91865 75.9127 -0.0140487 
5.91474 76.2696 -0.0109564 
6.67338 76.4477 -0.00887213 
7.3677 76.5414 -0.00888432 
8.03758 76.5994 -0.00825831 
8.6418 76.6157 -0.00742966 
9.20384 76.6113 -0.00720372 
9.75845 76.6062 -0.00703912 
10.2912 76.5983 -0.00672645 
10.8098 76.5965 -0.00676413 
11.342 76.609 -0.00692624 
11.8722 76.618 -0.00665076 
12.3685 76.6267 -0.00614731 
12.8371 76.6468 -0.00597034 
13.293 76.6711 -0.00568666 
13.7116 76.6789 -0.00513322 
14.1126 76.6798 -0.00550484 
14.5659 76.7119 -0.00589439 
14.9988 76.7192 -0.00511398 
15.3516 76.7296 -0.00392595 
15.5891 76.7644 -0.00195647 
15.6351 76.8073 0.000875119 
15.5065 76.87 0.00197288 
15.4054 76.9362 0.000458083 
15.4276 76.9753 -0.000428787 
15.4485 76.9817 -0.000193767 
p		#cnt 3
1
30
1120 0 93
1112.15 79.5143 94
1104.31 159.029 95
1105.35 237.301 96
1109.56 314.838 97
1115.85 391.947 98
1122.38 468.848 99
1130.66 546.082 100
1143.3 622.295 101
1148.36 698.942 102
1153.95 776.278 103
1168.18 852.498 104
1174.64 929.325 105
1179.31 1007.01 106
1191.13 1083.87 107
1194.62 1160.9 108
1195.31 1238.76 109
1206.2 1315.82 110
1210.84 1392.83 111
1212.5 1470.01 112
1219.07 1548.01 113
1232.62 1624.98 114
1231.26 1701.61 115
