p		#cnt 0
1
30
1000 0 0
1005.3 73.4869 1
1010.6 146.974 2
1018.26 220.783 3
1026.91 294.87 4
1037.07 369.077 5
1047.11 444.012 6
1057.09 519.848 7
1062.33 595.724 8
1062 671.783 9
1066.8 747.786 10
1082.65 821.614 11
1099.65 895.556 12
1102.12 970.945 13
1088.32 1045.95 14
1077.76 1121.35 15
1078.65 1197.35 16
1084.64 1273.36 17
1084.91 1348.98 18
1067.33 1422.68 19
1047.29 1495.2 20
1039.92 1569.89 21
1038.59 1644.92 22
1037.67 1719.95 23
1033.78 1794.85 24
1024.98 1869.29 25
1014.38 1943.47 26
1004.57 2017.73 27
994.813 2091.98 28
984.491 2166.13 29
973.83 2240.23 30
5.30042 73.4869 0 
5.30042 73.4869 -0.0189004 
7.65773 73.8089 -0.0191911 
8.67649 73.9528 -0.00646515 
8.65046 74.2076 0.00715028 
7.85407 74.5772 0.0137413 
6.8777 74.9758 0.0116465 
6.05343 75.2952 0.0134645 
4.89006 75.5362 0.0141567 
4.14197 75.7727 0.00619473 
3.88184 75.9403 0.00271731 
3.78523 76.0469 -0.000851673 
4.06484 76.1198 -0.00569836 
4.53025 76.2749 -0.00652769 
4.95995 76.3818 -0.00470638 
5.22507 76.4178 -0.00247604 
5.42263 76.4409 -0.00353506 
5.83752 76.4797 -0.00755487 
6.58145 76.6994 -0.0134155 
7.6688 77.0276 -0.0148062 
8.74317 77.1595 -0.0159246 
10.1129 77.2168 -0.0195929 
11.5268 77.269 -0.0171105 
12.5178 77.3418 -0.00829928 
12.8481 77.3915 -0.00280479 
13.0976 77.4356 -0.00398769 
13.4309 77.4867 -0.00488936 
13.7884 77.5392 -0.00443539 
14.0839 77.583 -0.00381427 
14.371 77.6257 -0.00390938 
p		#cnt 1
1
30
1040 0 31
1049.08 86.8237 32
1058.15 173.647 33
1058.07 258.786 34
1050.97 341.735 35
1068.86 420.102 36
1097.66 493.345 37
1115.55 569.411 38
1093.91 648.048 39
1076.92 728.403 40
1102.61 807.798 41
1149.69 877.45 42
1169.03 955.27 43
1120.53 1022.99 44
1109.43 1102.24 45
1126.7 1178.55 46
1144.72 1257.1 47
1151.72 1337.29 48
1105.45 1408.17 49
1086.79 1491.6 50
1123.04 1570.21 51
1166.93 1644.23 52
1184.81 1725.87 53
1202.83 1805.76 54
1215.54 1887.92 55
1214.78 1971.86 56
1207.66 2055.83 57
1211.82 2139.28 58
1228 2223.45 59
1246.83 2308.77 60
1265.65 2394.09 61
9.07645 86.8237 0 
9.07645 86.8237 0.0512624 
-0.0841931 85.1387 0.102034 
-6.97717 83.8611 0.0171832 
-1.64272 81.7892 -0.134783 
7.90131 78.1807 -0.0690593 
7.44351 77.3861 0.0374476 
5.06547 76.3792 0.0226145 
4.03123 76.0332 0.0048762 
3.95519 76.0792 0.000541868 
3.92804 76.1845 -0.00104037 
4.16785 76.1659 -0.00255654 
4.3505 76.2322 -0.00445482 
4.83918 76.3117 -0.0051032 
5.07878 76.3093 -0.00259641 
5.4051 76.2731 -0.0056164 
5.86379 76.2283 -0.00426473 
6.27187 76.4137 -0.0103356 
7.41176 76.6182 -0.0105277 
7.7154 76.4533 -0.000155 
7.76772 76.3938 -0.00341575 
8.26399 76.2777 -0.00722428 
8.82132 76.1571 -0.00685745 
9.40138 76.0791 -0.00735379 
10.0493 76.1 -0.00800971 
10.7323 76.1722 -0.00822818 
11.4198 76.149 -0.00823178 
12.1136 76.0236 -0.00822339 
12.8165 75.8746 -0.00822339 
13.5193 75.7255 -0.00822339 
p		#cnt 2
1
30
1080 0 62
1089.81 87.5198 63
1099.62 175.04 64
1115.6 255.613 65
1124.71 334.986 66
1137.79 413.042 67
1145.1 490.748 68
1143.38 568.464 69
1159.49 644.966 70
1179.02 719.686 71
1179.08 795.939 72
1189.05 871.316 73
1200.26 946.394 74
1182.99 1021.43 75
1176.59 1099.18 76
1175.57 1176.81 77
1175.07 1253.85 78
1183.29 1329.97 79
1191.52 1406.01 80
1181.02 1481.96 81
1190.75 1559.05 82
1204.91 1635.24 83
1202.57 1712.48 84
1217.17 1789.31 85
1236.77 1864.24 86
1237.93 1941.76 87
1246.85 2020.22 88
1243.94 2099.48 89
1248.39 2180.68 90
1289.38 2257.3 91
1373.68 2305.9 92
9.80798 87.5198 0 
9.80798 87.5198 -0.0477415 
15.9801 80.573 -0.0443334 
16.4886 78.5752 0.0165345 
13.7474 77.8019 0.0468148 
9.53463 77.5748 0.0485588 
6.62862 77.0726 0.0274333 
5.05119 76.9447 0.0104234 
4.55024 76.6883 0.00443725 
4.15209 76.5044 0.00360915 
4.09967 76.3699 -0.00195572 
4.28271 76.2513 -0.00226822 
4.42525 76.2397 -0.0021227 
4.67613 76.2384 -0.00413582 
5.0321 76.2247 -0.00468482 
5.39869 76.2153 -0.00513165 
5.81065 76.173 -0.0052867 
6.206 76.1444 -0.00549052 
6.65702 76.2248 -0.00621329 
7.14228 76.1812 -0.00638275 
7.64536 76.1054 -0.00675487 
8.17361 76.1366 -0.00683319 
8.69704 76.0472 -0.00682519 
9.22433 75.9184 -0.00726142 
9.80956 75.9193 -0.0077997 
10.437 75.8573 -0.00813977 
11.0894 75.8893 -0.0083054 
11.7643 75.8602 -0.00826511 
12.3957 75.5312 -0.00814233 
12.7965 74.8505 -0.00810642 
p		#cnt 3
1
30
1120 0 93
1122.39 73.0633 94
1124.78 146.127 95
1141.25 219.127 96
1153.04 292.303 97
1164.77 367.201 98
1174.33 442.228 99
1176.28 517.133 100
1185.01 593.97 101
1200.26 669.569 102
1209.18 744.952 103
1217.88 820.861 104
1226.41 896.549 105
1222.56 972.049 106
1215.09 1048.93 107
1210.63 1125.44 108
1207.65 1200.94 109
1209.87 1277.12 110
1218.27 1353.34 111
1217.82 1429.33 112
1220.69 1506.92 113
1230.1 1583.41 114
1234.46 1659.17 115
1243.1 1736.14 116
