
p		#cnt 0
1
30
1000 0 0
999.782 75.2517 1
999.563 150.503 2
998.178 225.729 3
996.861 300.968 4
995.482 376.213 5
994.269 451.465 6
993.452 526.726 7
993.098 601.996 8
993.38 677.267 9
994.427 752.532 10
996.352 827.781 11
999.261 902.999 12
1003.24 978.168 13
1008.38 1053.27 14
1014.73 1128.29 15
1022.34 1203.19 16
1031.24 1277.96 17
1041.45 1352.58 18
1052.95 1427.02 19
1065.34 1501.33 20
1078.44 1575.53 21
1092.01 1649.65 22
1105.8 1723.74 23
1119.54 1797.85 24
1132.99 1872.01 25
1145.88 1946.27 26
1157.97 2020.66 27
1169.03 2095.21 28
1178.93 2169.93 29
1187.84 2244.78 30
-0.21848 75.2517 0 
-0.21848 75.2517 0.00799736 
-1.38519 75.2258 0.0145254 
-2.67824 75.2142 0.0196027 
-4.30017 75.2082 0.023274 
-6.14738 75.2125 0.0256027 
-8.12194 75.2316 0.0266773 
-10.1332 75.2646 0.0265964 
-12.0979 75.312 0.0254655 
-13.9414 75.3715 0.0234035 
-15.5984 75.4392 0.0205396 
-17.0137 75.5093 0.0170127 
-18.1432 75.5749 0.012971 
-18.9542 75.6278 0.00857185 
-19.4265 75.6594 0.00398115 
-19.5528 75.6611 -0.000626911 
-19.3394 75.6249 -0.00507042 
-18.8066 75.5445 -0.00916023 
-17.9891 75.4158 -0.0127005 
-16.9347 75.2441 -0.0155294 
-15.701 75.0358 -0.0175315 
-14.353 74.8027 -0.0186186 
-12.9602 74.5591 -0.0187389 
-11.5949 74.3202 -0.0178771 
-10.329 74.1015 -0.0160547 
-9.23167 73.9163 -0.0133293 
-8.36692 73.7746 -0.00979459 
-7.76224 73.676 -0.00674472 
-7.31153 73.6169 -0.00569704 
-6.88252 73.5682 -0.00574351 
p		#cnt 1
1
30
1200 0 31
1195.39 70.9002 32
1190.77 141.8 33
1188.16 212.897 34
1186 283.982 35
1184.66 355.102 36
1184.04 426.243 37
1184.09 497.391 38
1184.45 568.534 39
1185.04 639.67 40
1185.71 710.799 41
1186.37 781.924 42
1186.93 853.049 43
1187.34 924.176 44
1187.57 995.311 45
1187.61 1066.46 46
1187.47 1137.62 47
1187.18 1208.79 48
1186.79 1279.98 49
1186.38 1351.19 50
1186 1422.41 51
1185.77 1493.64 52
1185.78 1564.87 53
1186.16 1636.09 54
1187.02 1707.31 55
1188.51 1778.51 56
1190.77 1849.67 57
1193.79 1920.81 58
1197.12 1991.94 59
1200.69 2063.05 60
1204.58 2134.13 61
-4.61495 70.9002 0 
-4.61495 70.9002 -0.0147862 
-2.61135 71.0966 -0.025815 
-0.499144 71.2568 -0.0332211 
2.01947 71.4269 -0.0372973 
4.72128 71.5861 -0.0384156 
7.41287 71.7191 -0.0370536 
9.93435 71.8289 -0.0336618 
12.1551 71.913 -0.0286307 
13.9726 71.9753 -0.0223575 
15.3116 72.0212 -0.0152146 
16.1228 72.057 -0.00755022 
16.3804 72.0895 0.000310044 
16.0815 72.1247 0.0080625 
15.2438 72.1681 0.0154244 
13.9045 72.2237 0.0221329 
12.1188 72.2944 0.0279445 
9.95863 72.3814 0.0326344 
7.5112 72.4843 0.0359952 
4.87789 72.601 0.0378372 
2.17296 72.7281 0.0379868 
-0.477566 72.8605 0.036287 
-2.9371 72.9916 0.0325961 
-5.05952 73.1137 0.0267878 
-6.6903 73.2183 0.0187508 
-7.66748 73.2958 0.00838803 
-7.97125 73.3446 0.00188557 
-8.04606 73.3835 0.000185585 
-7.94632 73.4091 -0.00354643 
-7.56246 73.4099 -0.00630674 
p		#cnt 2
1
30
1400 0 62
1393.41 73.7475 63
1386.82 147.495 64
1380.25 221.228 65
1373.68 294.969 66
1367.12 368.71 67
1360.56 442.451 68
1354 516.193 69
1347.43 589.935 70
1340.87 663.676 71
1334.3 737.417 72
1327.73 811.158 73
1321.15 884.898 74
1314.56 958.637 75
1307.96 1032.37 76
1301.35 1106.11 77
1294.72 1179.85 78
1288.08 1253.58 79
1281.42 1327.32 80
1274.74 1401.05 81
1268.04 1474.78 82
1261.32 1548.5 83
1254.58 1622.23 84
1247.81 1695.95 85
1241.01 1769.67 86
1234.19 1843.39 87
1227.36 1917.11 88
1220.67 1990.83 89
1214.2 2064.58 90
1207.98 2138.36 91
1201.84 2212.15 92
-6.58803 73.7475 0 
-6.58803 73.7475 -0.000114873 
-6.57018 73.7326 -0.000207353 
-6.55143 73.726 -0.000277441 
-6.52835 73.7198 -0.000325136 
-6.50257 73.7139 -0.000350438 
-6.47575 73.708 -0.000353348 
-6.44954 73.7021 -0.000333866 
-6.42559 73.696 -0.000291991 
-6.40556 73.6896 -0.000227723 
-6.39109 73.6826 -0.000141063 
-6.38384 73.675 -3.201e-05 
-6.38546 73.6666 9.94354e-05 
-6.3976 73.6573 0.000253273 
-6.4219 73.6468 0.000429504 
-6.46003 73.6352 0.000628127 
-6.51364 73.6221 0.000849143 
-6.58437 73.6076 0.00109255 
-6.67387 73.5913 0.00135835 
-6.7838 73.5733 0.00164654 
-6.91582 73.5532 0.00195713 
-7.07156 73.5311 0.00229011 
-7.25268 73.5066 0.00264548 
-7.46084 73.4798 0.00302324 
-7.69768 73.4504 0.0034234 
-7.93539 73.4198 0.00265072 
-8.04202 73.3993 5.4495e-05 
-7.91896 73.4015 -0.00346577 
-7.55796 73.4294 -0.00583584 
-7.10452 73.4692 -0.00630351 
p		#cnt 3
1
30
1600 0 93
1595.05 72.3046 94
1590.1 144.609 95
1585.15 216.914 96
1580.2 289.218 97
1575.25 361.523 98
1570.29 433.828 99
1565.34 506.132 100
1560.39 578.437 101
1555.44 650.741 102
1550.49 723.046 103
1545.54 795.351 104
1540.59 867.655 105
1535.64 939.96 106
1530.69 1012.26 107
1525.74 1084.57 108
1520.79 1156.87 109
1515.84 1229.18 110
1510.88 1301.48 111
1505.93 1373.79 112
1500.98 1446.09 113
